ID,Energy_Source,Carbon_Footprint,Smart_Home_Device,Electric_Vehicle,Household_Size,Annual_Water_Usage,Renewable_Investment,Satisfaction_Score
2543,Wind,13.56,Security,No,4,106.53,High,4.75
2544,Solar,11.32,Security,Yes,1,94.96,Low,4.86
2545,Wind,7.87,None,No,4,118.79,Low,7.2
2546,Hydro,3.7,Thermostat,No,7,115.17,Low,4.69
2547,Fossil,10.55,Security,Yes,2,4.87,Low,5.06
2548,Hydro,6.02,None,No,4,95.76,High,4.04
2549,Fossil,10.44,Assistant,No,5,120.3,High,2.23
2550,Wind,7.98,Security,No,6,111.38,Medium,9.03
2551,Hydro,11.28,Lighting,Yes,5,109.07,None,7.33
2552,Nuclear,6.17,None,No,7,121.33,Low,7.92
2553,Solar,16.37,Security,Yes,1,107.95,High,8.2
2554,Fossil,5.49,Thermostat,Yes,2,68.96,High,4.06
2555,Hydro,15.33,Thermostat,Yes,5,50.59,Low,6.52
2556,Nuclear,11.19,Security,No,7,131.45,None,4.96
2557,Solar,16.71,Thermostat,Yes,4,130.71,Medium,2.67
2558,Nuclear,5.33,Assistant,No,5,109.76,Medium,3.61
2559,Hydro,12.91,Thermostat,No,6,138.22,High,3.84
2560,Wind,13.1,None,Yes,3,107.13,Low,9.75
2561,Hydro,12.64,Thermostat,Yes,1,77.25,Medium,9.94
2562,Nuclear,3.32,Security,No,2,84.89,High,8.64
2563,Fossil,4.92,Assistant,No,7,101.72,High,9.03
2564,Solar,8.04,Security,No,4,74.65,Medium,9.77
2565,Hydro,8.39,Lighting,Yes,1,65.17,None,4.77
2566,Fossil,10.49,Thermostat,Yes,7,67.27,Low,5.27
2567,Hydro,6.45,None,Yes,5,84.04,None,7.9
2568,Wind,-0.91,Security,No,6,127.47,None,4.14
2569,Wind,8.75,Thermostat,No,7,114.68,None,5.78
2570,Hydro,12.62,Thermostat,Yes,4,150.14,None,3.8
2571,Fossil,13.2,None,Yes,5,84.72,None,4.52
2572,Hydro,-4.34,Lighting,No,5,70.93,Medium,4.6
2573,Hydro,10.05,Thermostat,Yes,3,144.3,None,6.96
2574,Hydro,10.31,Lighting,No,6,121.94,Low,3.57
2575,Nuclear,12.7,Security,Yes,5,25.93,High,9.25
2576,Fossil,5.73,Thermostat,No,3,60.39,High,4.36
2577,Wind,4.69,Assistant,Yes,6,90.1,High,7.85
2578,Nuclear,20.93,Security,Yes,5,126.89,None,7.56
2579,Hydro,13.94,Thermostat,Yes,7,161.17,High,8.35
2580,Fossil,18.5,Security,Yes,3,130.76,None,5.2
2581,Fossil,14.49,Thermostat,No,1,105.09,High,1.34
2582,Solar,3.53,Thermostat,No,3,91.49,High,7.83
2583,Wind,3.4,Security,Yes,7,69.52,None,9.76
2584,Fossil,8.37,Thermostat,Yes,4,91.64,High,8.79
2585,Fossil,7.08,None,No,2,98.05,Low,9.81
2586,Fossil,15.85,Assistant,No,7,88.51,High,3.55
2587,Solar,8.44,None,No,2,106.99,Medium,8.35
2588,Wind,5.93,Assistant,Yes,6,76.83,Medium,7.53
2589,Nuclear,21.16,None,No,5,117.32,High,9.65
2590,Solar,9.67,Lighting,No,2,44.05,High,4.57
2591,Hydro,3.6,Lighting,Yes,5,108.27,High,2.92
2592,Nuclear,13.56,None,Yes,6,58.54,Low,6.92
2593,Hydro,13.41,Lighting,Yes,1,55.23,Low,4.8
2594,Solar,5.08,Security,No,6,88.83,Low,2.93
2595,Wind,11.2,Thermostat,Yes,7,37.74,High,2.77
2596,Nuclear,17.18,Lighting,No,5,46.17,Low,2.36
2597,Solar,14.4,None,No,6,89.59,None,8.5
2598,Wind,9.49,Security,No,3,152.02,Low,7.42
2599,Wind,8.24,Security,No,5,125.32,None,6.44
2600,Solar,3.34,Lighting,Yes,1,131.33,High,5.59
2601,Solar,10.2,None,No,2,144.93,Low,2.56
2602,Solar,-2.7,Assistant,No,5,132.03,High,3.83
2603,Wind,12.62,Assistant,Yes,7,104.96,High,2.76
2604,Wind,4.34,Thermostat,No,5,96.71,High,1.45
2605,Wind,10.87,Security,Yes,2,104.63,Low,2.67
2606,Fossil,21.75,Thermostat,Yes,6,98.31,Low,2.07
2607,Fossil,4.89,None,Yes,5,97.82,Low,6.66
2608,Solar,5.49,Security,No,1,66.41,None,5.05
2609,Solar,16.42,Security,No,1,142.41,Low,1.42
2610,Hydro,10.98,None,Yes,1,87.51,High,3.22
2611,Fossil,11.46,Lighting,Yes,7,37.57,Low,7.64
2612,Wind,5.4,None,Yes,6,101.44,Medium,7.68
2613,Solar,16.96,Assistant,Yes,3,129.69,Medium,1.88
2614,Fossil,11.96,Assistant,Yes,6,74.19,Low,5.23
2615,Wind,8.86,Security,Yes,2,79.81,Low,7.44
2616,Solar,9.89,Security,No,6,82.59,Low,2.4
2617,Hydro,12.53,Security,No,3,123.41,High,2.94
2618,Wind,6.28,Security,Yes,4,70.41,Low,1.36
2619,Wind,8.17,None,Yes,6,42.63,High,9.07
2620,Solar,6.52,Lighting,Yes,2,120.41,None,4.1
2621,Nuclear,13.31,Lighting,No,4,105.05,High,5.98
2622,Hydro,9.42,None,Yes,7,76.98,High,4.43
2623,Nuclear,15.21,Lighting,Yes,4,121.17,Low,3.61
2624,Solar,7.99,None,Yes,6,68.74,None,5.27
2625,Wind,12.0,Assistant,Yes,5,90.31,Medium,5.19
2626,Wind,15.64,Security,No,4,72.39,None,2.45
2627,Fossil,10.66,None,Yes,7,47.58,Low,3.12
2628,Hydro,10.41,Assistant,No,1,49.33,None,2.9
2629,Hydro,10.74,Thermostat,Yes,3,98.49,None,5.73
2630,Fossil,13.76,Lighting,Yes,7,77.2,Medium,5.25
2631,Solar,16.96,Security,Yes,5,119.33,Medium,8.25
2632,Nuclear,14.66,None,No,5,57.46,None,1.73
2633,Wind,8.92,Lighting,No,3,124.4,Medium,9.26
2634,Solar,-0.34,Security,No,4,111.08,Low,3.79
2635,Wind,8.04,Assistant,No,7,111.83,Medium,3.41
2636,Wind,8.61,None,Yes,6,105.84,High,9.38
2637,Solar,10.05,Assistant,No,1,139.53,None,3.63
2638,Fossil,13.18,Thermostat,Yes,1,139.55,High,4.92
2639,Nuclear,2.84,Security,Yes,3,55.74,High,6.07
2640,Hydro,4.04,Thermostat,Yes,4,107.19,Low,6.48
2641,Solar,-1.26,Security,Yes,7,34.34,Medium,7.13
2642,Fossil,10.87,Assistant,Yes,2,131.06,None,1.77
2643,Hydro,15.11,Assistant,No,7,112.68,High,9.43
2644,Solar,18.34,Thermostat,Yes,6,174.78,Low,8.94
2645,Nuclear,12.62,Assistant,Yes,1,78.5,Medium,7.13
2646,Fossil,9.09,Assistant,Yes,1,61.94,High,7.34
2647,Nuclear,19.11,Thermostat,Yes,1,121.54,Medium,9.93
2648,Wind,2.8,Lighting,Yes,3,68.21,High,9.35
2649,Nuclear,5.04,Lighting,No,3,96.04,High,5.87
2650,Nuclear,7.34,Security,Yes,5,138.87,High,2.18
2651,Hydro,11.46,Security,No,2,142.44,High,2.07
2652,Fossil,1.84,Thermostat,No,6,111.11,High,9.91
2653,Hydro,11.76,Security,Yes,2,91.28,Medium,6.31
2654,Solar,5.35,None,No,1,36.39,Low,2.32
2655,Wind,15.99,Thermostat,Yes,6,147.62,High,8.43
2656,Hydro,1.6,None,No,6,86.56,None,1.02
2657,Nuclear,5.94,Thermostat,Yes,6,103.7,None,3.87
2658,Solar,5.79,Assistant,Yes,4,138.18,High,9.98
2659,Fossil,22.31,Assistant,Yes,4,86.98,None,7.27
2660,Wind,11.5,Thermostat,Yes,1,126.02,Low,7.22
2661,Wind,2.87,Assistant,Yes,1,161.87,Low,2.51
2662,Wind,13.16,Thermostat,No,2,117.52,Medium,9.29
2663,Fossil,21.3,None,Yes,3,143.63,Low,7.31
2664,Fossil,13.31,Thermostat,No,1,109.42,Low,2.23
2665,Wind,14.87,Lighting,No,4,64.94,None,6.89
2666,Hydro,5.78,None,No,2,143.97,None,2.72
2667,Solar,6.87,Lighting,No,7,94.44,Medium,2.4
2668,Fossil,15.11,Security,No,1,102.03,Medium,2.37
2669,Hydro,19.22,Assistant,Yes,5,94.54,Medium,2.66
2670,Hydro,6.08,Security,Yes,6,141.93,None,7.46
2671,Fossil,7.05,Thermostat,No,1,111.05,None,8.43
2672,Fossil,15.0,Assistant,Yes,3,82.52,Low,2.04
2673,Hydro,1.32,Assistant,Yes,6,148.98,Low,2.08
2674,Hydro,12.79,Lighting,Yes,1,82.08,Low,3.4
2675,Fossil,5.2,Lighting,Yes,6,120.55,None,3.01
2676,Nuclear,15.5,None,No,5,84.87,High,9.99
2677,Hydro,11.35,Assistant,No,2,194.3,Medium,6.15
2678,Nuclear,4.87,Security,No,5,131.02,High,7.76
2679,Solar,6.35,Assistant,Yes,6,103.47,Medium,9.95
2680,Hydro,8.15,Thermostat,Yes,1,147.86,None,5.97
2681,Wind,15.0,None,No,4,178.46,Medium,6.73
2682,Nuclear,18.91,Thermostat,Yes,6,120.84,High,3.29
2683,Solar,11.25,None,Yes,7,153.01,High,8.45
2684,Fossil,9.4,Lighting,No,6,134.07,Low,9.61
2685,Fossil,14.0,Lighting,Yes,5,83.64,High,3.76
2686,Hydro,12.2,Lighting,No,5,109.65,None,1.93
2687,Fossil,-3.92,Lighting,Yes,7,88.54,Low,9.96
2688,Wind,11.65,Assistant,No,7,77.9,Medium,9.43
2689,Nuclear,4.16,Assistant,Yes,4,83.16,High,7.78
2690,Solar,6.29,Lighting,No,6,79.8,Medium,1.65
2691,Hydro,1.64,Lighting,Yes,3,115.47,None,5.22
2692,Solar,-1.15,Security,No,1,63.06,Medium,8.78
2693,Hydro,2.05,Assistant,Yes,4,115.87,Low,8.9
2694,Nuclear,-0.88,None,Yes,4,139.91,None,6.51
2695,Solar,13.23,Lighting,No,4,48.93,Low,1.79
2696,Solar,8.81,None,No,7,71.98,Medium,8.36
2697,Wind,3.59,Assistant,No,7,73.25,None,8.38
2698,Hydro,17.86,None,No,5,65.04,Low,5.94
2699,Wind,9.57,Security,Yes,4,95.69,Low,6.69
2700,Nuclear,11.78,Thermostat,Yes,1,129.01,Medium,2.85
2701,Nuclear,2.22,Assistant,No,5,107.12,High,6.37
2702,Solar,21.26,Lighting,Yes,4,174.47,Low,9.98
2703,Hydro,9.61,None,Yes,5,116.41,Low,1.07
2704,Nuclear,5.06,Thermostat,Yes,1,112.62,None,8.08
2705,Fossil,7.49,Security,Yes,7,178.85,Low,2.72
2706,Wind,12.81,Lighting,No,6,54.51,Medium,2.48
2707,Hydro,3.46,Thermostat,No,5,84.99,Low,9.76
2708,Fossil,6.51,Assistant,No,6,138.83,High,4.92
2709,Fossil,8.81,Security,Yes,2,118.52,Medium,7.3
2710,Wind,5.59,Thermostat,Yes,4,106.89,Medium,1.98
2711,Solar,8.25,Assistant,Yes,3,113.07,Low,1.16
2712,Nuclear,14.02,Assistant,Yes,1,109.1,Low,6.93
2713,Nuclear,11.35,Lighting,Yes,5,133.18,High,5.61
2714,Wind,17.33,Lighting,No,2,88.8,Medium,5.6
2715,Nuclear,14.07,Thermostat,Yes,6,40.21,None,3.65
2716,Fossil,13.03,None,Yes,3,134.2,Medium,9.7
2717,Fossil,13.72,Lighting,No,1,135.09,High,5.58
2718,Nuclear,5.0,Assistant,Yes,3,63.28,High,7.29
2719,Nuclear,11.7,Assistant,Yes,2,123.7,None,8.85
2720,Fossil,23.66,Assistant,Yes,4,107.15,Medium,9.69
2721,Fossil,4.59,Security,Yes,3,78.08,Medium,1.23
2722,Nuclear,10.66,Lighting,No,6,86.73,Low,2.34
2723,Fossil,11.6,Security,No,4,123.89,Medium,5.17
2724,Solar,6.74,Security,No,3,87.26,None,3.63
2725,Nuclear,11.73,Thermostat,Yes,7,111.31,Low,9.27
2726,Nuclear,6.08,Assistant,No,2,45.64,Low,6.37
2727,Wind,5.06,Assistant,No,1,117.62,High,7.29
2728,Fossil,11.89,Security,Yes,1,99.06,None,8.99
2729,Nuclear,14.39,Lighting,No,5,77.34,None,5.35
2730,Nuclear,1.06,Assistant,No,7,120.74,Low,7.62
2731,Nuclear,11.48,Lighting,No,2,32.43,None,8.2
2732,Nuclear,5.48,Thermostat,Yes,2,115.44,High,7.7
2733,Nuclear,18.93,Thermostat,No,1,86.03,Medium,3.39
2734,Hydro,14.89,Assistant,No,6,83.87,None,9.36
2735,Solar,8.52,Security,No,3,49.69,Low,8.85
2736,Solar,13.24,Thermostat,Yes,1,80.7,High,1.87
2737,Fossil,10.25,Security,Yes,6,98.71,Medium,8.34
2738,Fossil,12.54,Lighting,Yes,1,133.84,Low,9.18
2739,Fossil,3.25,Assistant,Yes,6,134.47,None,7.18
2740,Hydro,11.01,Assistant,No,4,97.99,Medium,6.18
2741,Nuclear,2.79,None,No,3,63.39,None,9.06
2742,Fossil,4.1,Assistant,No,1,121.14,None,2.03
2743,Solar,15.19,Assistant,No,3,67.53,Low,6.99
2744,Solar,14.93,Assistant,Yes,7,104.29,Medium,3.03
2745,Nuclear,19.04,None,No,1,12.11,Low,7.13
2746,Fossil,-0.29,Lighting,No,6,119.13,Medium,4.6
2747,Wind,6.83,Thermostat,Yes,6,46.82,Medium,3.23
2748,Nuclear,8.98,Lighting,No,1,120.76,Low,7.57
2749,Hydro,5.48,Lighting,Yes,2,101.52,Medium,4.96
2750,Nuclear,3.26,Thermostat,No,7,44.26,Low,8.42
2751,Solar,8.9,Assistant,No,1,131.22,None,2.45
2752,Fossil,7.01,Thermostat,No,2,95.92,Medium,7.68
2753,Nuclear,5.4,Security,Yes,3,74.21,Medium,5.69
2754,Hydro,13.91,Lighting,Yes,7,100.2,None,2.73
2755,Hydro,6.69,Thermostat,No,3,94.14,None,4.64
2756,Nuclear,9.98,Assistant,No,1,96.28,Medium,4.85
2757,Hydro,12.01,Lighting,No,1,75.57,Medium,7.79
2758,Wind,12.65,Assistant,No,3,81.59,None,1.49
2759,Nuclear,6.85,Thermostat,No,4,71.96,Medium,4.42
2760,Wind,10.95,Lighting,No,7,113.92,None,4.84
2761,Nuclear,10.58,Assistant,No,5,122.57,None,3.57
2762,Fossil,13.13,Security,Yes,6,119.92,High,5.12
2763,Hydro,11.04,Lighting,No,7,95.86,Medium,8.46
2764,Fossil,8.28,Lighting,Yes,1,134.66,High,6.98
2765,Wind,9.59,Thermostat,No,1,130.62,Medium,7.8
2766,Wind,11.44,Lighting,Yes,2,111.96,Low,9.41
2767,Hydro,19.25,Thermostat,No,3,87.79,High,1.18
2768,Hydro,7.94,None,Yes,3,97.64,Medium,7.8
2769,Fossil,8.15,Thermostat,Yes,4,114.15,High,1.62
2770,Nuclear,5.79,Assistant,Yes,1,108.12,High,5.24
2771,Hydro,15.18,Security,Yes,2,103.81,Low,5.98
2772,Fossil,2.16,Lighting,Yes,7,87.33,Low,9.28
2773,Hydro,16.6,None,No,6,90.4,High,4.95
2774,Hydro,2.88,Security,Yes,7,89.83,Medium,9.88
2775,Nuclear,9.29,Security,Yes,3,114.55,High,3.59
2776,Solar,10.98,Thermostat,Yes,1,114.43,None,6.78
2777,Hydro,9.75,Security,No,2,107.08,Low,3.07
2778,Fossil,5.01,Assistant,Yes,3,68.55,High,6.46
2779,Solar,12.83,Lighting,Yes,1,131.86,None,3.09
2780,Wind,6.13,Security,Yes,2,96.91,None,7.59
2781,Nuclear,20.61,None,Yes,2,105.58,None,6.7
2782,Wind,15.1,None,No,1,111.73,None,4.43
2783,Hydro,8.75,Thermostat,No,2,79.75,None,3.02
2784,Solar,-2.65,Thermostat,No,6,106.52,None,9.32
2785,Fossil,9.07,Security,Yes,2,68.45,None,7.46
2786,Wind,7.22,Assistant,Yes,1,106.48,Low,4.43
2787,Fossil,-0.51,Assistant,No,3,108.95,High,3.9
2788,Hydro,2.23,Security,No,2,125.77,High,9.0
2789,Nuclear,0.1,Lighting,No,3,100.26,Medium,9.32
2790,Hydro,8.19,Lighting,No,4,116.92,Medium,3.4
2791,Fossil,15.43,Thermostat,No,2,113.45,Low,3.29
2792,Hydro,6.81,Assistant,No,5,79.06,None,7.86
2793,Hydro,9.14,Lighting,No,1,110.33,None,5.0
2794,Wind,17.29,Security,No,5,109.53,High,8.09
2795,Nuclear,9.02,Assistant,Yes,5,138.57,None,3.07
2796,Fossil,11.73,Lighting,No,7,77.52,High,7.06
2797,Hydro,3.73,None,No,3,110.02,Low,4.56
2798,Hydro,7.6,Lighting,No,2,122.73,Low,4.17
2799,Solar,7.25,None,No,6,111.01,Low,8.89
2800,Hydro,6.74,Lighting,Yes,5,107.03,None,6.35
2801,Nuclear,10.37,Lighting,Yes,5,41.38,High,2.53
2802,Nuclear,3.0,Security,Yes,6,121.49,Medium,2.1
2803,Wind,17.91,Thermostat,Yes,4,111.1,None,2.38
2804,Fossil,14.97,None,No,6,46.34,Low,9.67
2805,Wind,14.11,Security,No,7,71.63,Medium,6.63
2806,Nuclear,5.43,Security,Yes,6,190.33,Medium,2.01
2807,Fossil,13.33,Security,No,7,143.68,Medium,9.42
2808,Solar,12.2,Thermostat,Yes,6,118.44,None,3.55
2809,Wind,4.57,Assistant,Yes,2,120.76,None,9.15
2810,Nuclear,18.18,Security,No,3,119.12,Medium,7.88
2811,Fossil,9.08,None,No,4,58.4,Medium,9.86
2812,Fossil,20.11,Thermostat,No,1,46.95,High,1.63
2813,Solar,14.57,Thermostat,No,4,115.91,Medium,8.87
2814,Fossil,6.14,None,Yes,6,99.76,None,5.97
2815,Nuclear,12.82,Assistant,Yes,1,126.4,None,4.65
2816,Wind,14.6,Assistant,Yes,4,128.4,Medium,6.22
2817,Hydro,13.14,Assistant,Yes,5,104.74,Medium,2.0
2818,Solar,9.94,Assistant,No,3,74.72,None,6.4
2819,Nuclear,10.66,Thermostat,No,2,128.44,None,9.76
2820,Nuclear,6.45,Security,Yes,2,95.94,High,3.32
2821,Hydro,13.84,Lighting,Yes,1,52.86,Low,4.68
2822,Solar,4.1,None,Yes,1,89.09,Low,5.99
2823,Fossil,8.58,None,No,5,112.34,None,4.8
2824,Hydro,12.06,Lighting,Yes,6,104.81,High,1.97
2825,Wind,12.66,Lighting,No,2,94.51,High,3.3
2826,Fossil,6.39,Lighting,No,7,123.6,Low,5.04
2827,Hydro,2.29,Thermostat,Yes,5,113.26,High,9.98
2828,Nuclear,0.29,None,Yes,3,101.51,Low,3.56
2829,Solar,1.61,None,No,2,33.28,None,3.15
2830,Wind,9.91,None,Yes,7,81.44,Medium,1.74
2831,Fossil,7.39,None,No,2,64.32,Medium,2.54
2832,Fossil,21.53,Security,No,7,120.12,High,7.94
2833,Hydro,12.05,None,Yes,6,130.87,Medium,3.86
2834,Wind,8.06,Security,Yes,5,191.35,None,1.05
2835,Solar,2.86,Lighting,Yes,5,75.97,High,1.22
2836,Nuclear,7.76,Lighting,Yes,4,128.74,Medium,6.02
2837,Hydro,10.31,Lighting,No,1,139.78,None,9.62
2838,Solar,6.55,Lighting,No,2,135.29,None,2.58
2839,Nuclear,18.13,Thermostat,Yes,5,70.47,High,2.58
2840,Fossil,3.38,Lighting,Yes,6,162.01,Medium,3.0
2841,Wind,5.15,None,Yes,1,88.12,Low,8.5
2842,Solar,5.66,Assistant,No,4,94.74,Medium,4.29
2843,Solar,0.45,None,Yes,3,78.42,High,6.28
2844,Hydro,13.65,Lighting,Yes,2,57.48,Medium,1.75
2845,Solar,10.39,Assistant,Yes,3,82.77,Medium,1.96
2846,Wind,3.77,None,Yes,1,65.05,Medium,2.98
2847,Wind,11.51,Lighting,No,7,128.03,High,2.84
2848,Wind,11.58,Lighting,No,1,96.66,High,9.55
2849,Wind,9.91,Thermostat,No,2,150.56,High,9.24
2850,Solar,7.54,Assistant,No,5,111.98,None,1.87
2851,Wind,14.38,Security,Yes,4,66.97,Low,5.16
2852,Nuclear,1.01,None,No,6,84.16,High,9.59
2853,Fossil,3.28,Assistant,Yes,6,77.52,Low,3.84
2854,Nuclear,9.12,Assistant,Yes,2,123.54,None,3.17
2855,Fossil,11.01,Thermostat,No,7,113.8,Low,1.68
2856,Solar,9.95,Lighting,No,4,155.92,Medium,4.33
2857,Hydro,11.04,Assistant,No,2,113.11,High,1.58
2858,Wind,9.99,Assistant,No,3,71.77,None,3.43
2859,Solar,16.61,Assistant,No,7,82.22,Medium,2.98
2860,Fossil,9.28,Assistant,No,5,136.51,Low,9.84
2861,Hydro,17.8,Thermostat,No,6,85.2,Low,1.11
2862,Hydro,12.93,Security,No,2,121.23,High,2.19
2863,Wind,4.66,Thermostat,Yes,5,136.37,Low,5.27
2864,Nuclear,14.72,Lighting,No,5,141.24,Low,3.74
2865,Nuclear,-2.01,Lighting,Yes,2,65.69,Low,1.82
2866,Nuclear,1.52,None,No,1,105.88,None,3.48
2867,Hydro,8.24,Security,No,4,103.71,None,1.42
2868,Wind,6.64,Thermostat,No,5,102.07,Medium,5.17
2869,Hydro,7.75,Assistant,Yes,3,28.42,Medium,3.57
2870,Solar,9.32,Lighting,Yes,5,82.76,Medium,5.79
2871,Nuclear,21.21,None,Yes,3,152.33,Low,1.34
2872,Nuclear,6.75,Thermostat,No,5,73.93,Low,2.17
2873,Solar,6.52,None,Yes,1,120.81,None,4.63
2874,Hydro,11.35,Assistant,Yes,4,108.57,Low,9.21
2875,Solar,10.38,Assistant,No,4,102.81,None,2.94
2876,Solar,8.76,Lighting,Yes,5,79.58,None,8.73
2877,Hydro,12.27,Thermostat,Yes,2,120.14,Low,3.64
2878,Wind,2.0,None,Yes,5,91.64,None,3.76
2879,Fossil,24.98,None,Yes,2,66.87,Medium,7.47
2880,Nuclear,15.63,Assistant,Yes,6,28.05,Medium,2.19
2881,Wind,10.75,Thermostat,Yes,7,75.73,Low,2.59
2882,Nuclear,10.96,Lighting,Yes,1,69.93,None,4.91
2883,Fossil,7.12,Assistant,No,2,65.29,High,3.69
2884,Solar,11.11,Thermostat,Yes,3,111.75,High,5.74
2885,Fossil,8.74,Assistant,Yes,5,109.28,None,2.21
2886,Hydro,3.63,Assistant,Yes,4,134.28,Low,9.01
2887,Solar,-0.99,Thermostat,No,3,127.81,Medium,4.41
2888,Solar,9.34,Lighting,No,3,121.16,High,2.98
2889,Hydro,13.06,Thermostat,Yes,6,136.37,None,5.16
2890,Solar,7.84,None,No,4,86.01,Low,4.83
2891,Solar,-3.41,Thermostat,No,3,100.11,None,1.14
2892,Wind,9.04,None,No,2,152.24,None,3.92
2893,Nuclear,14.74,Assistant,No,4,87.52,Low,4.54
2894,Fossil,5.08,Security,No,3,53.1,Low,9.31
2895,Solar,4.15,Assistant,No,7,60.25,Low,3.48
2896,Wind,11.56,Assistant,Yes,6,91.94,None,9.49
2897,Wind,10.75,Lighting,Yes,1,107.15,Medium,9.17
2898,Solar,9.64,Security,No,5,84.91,None,1.23
2899,Fossil,10.51,Lighting,No,5,125.66,High,7.07
2900,Nuclear,18.29,Assistant,No,4,113.12,High,7.34
2901,Solar,7.6,None,Yes,5,135.87,High,6.91
2902,Nuclear,12.42,Security,Yes,6,101.39,None,9.67
2903,Hydro,10.65,Thermostat,Yes,1,45.79,None,9.15
2904,Nuclear,14.21,Thermostat,No,1,86.49,Medium,4.27
2905,Fossil,7.56,None,Yes,2,58.94,Low,8.92
2906,Nuclear,17.07,Thermostat,No,4,90.82,None,8.9
2907,Solar,19.76,None,Yes,5,98.51,Medium,8.59
2908,Fossil,2.4,Assistant,No,2,104.94,None,1.76
2909,Fossil,10.9,Security,No,5,105.55,High,2.65
2910,Wind,15.04,Security,Yes,1,46.85,Low,9.7
2911,Wind,10.85,Thermostat,Yes,4,171.22,Medium,8.19
2912,Fossil,6.81,Thermostat,Yes,3,95.86,High,1.77
2913,Wind,11.58,Assistant,Yes,7,173.93,Medium,1.21
2914,Hydro,11.07,Security,Yes,3,115.23,High,1.86
2915,Nuclear,10.64,None,Yes,2,94.89,None,1.14
2916,Hydro,8.65,Security,No,4,99.44,High,2.36
2917,Nuclear,7.91,Assistant,No,7,99.72,Low,4.07
2918,Nuclear,7.34,Security,Yes,5,165.19,Low,5.47
2919,Nuclear,3.57,Thermostat,Yes,4,127.76,Low,5.47
2920,Fossil,12.01,Security,No,1,83.85,High,7.61
2921,Hydro,6.69,None,No,4,127.15,None,6.06
2922,Fossil,5.55,Security,Yes,2,111.05,Low,9.07
2923,Nuclear,10.09,Security,No,2,74.66,High,2.02
2924,Fossil,3.32,Lighting,Yes,7,88.87,None,7.56
2925,Wind,2.63,None,Yes,1,71.42,None,7.0
2926,Solar,16.05,Assistant,Yes,4,119.5,High,7.73
2927,Nuclear,5.65,Security,Yes,7,99.18,High,3.25
2928,Wind,4.35,Lighting,Yes,5,87.73,High,5.38
2929,Fossil,22.69,Security,Yes,2,164.23,Low,4.85
2930,Solar,3.12,None,Yes,6,125.63,High,4.69
2931,Wind,5.5,Lighting,Yes,4,128.95,None,5.92
2932,Fossil,10.41,Thermostat,Yes,1,80.29,Medium,6.22
2933,Wind,5.1,Lighting,Yes,2,148.3,Low,1.66
2934,Fossil,0.1,Security,Yes,2,122.3,High,3.03
2935,Solar,3.33,Thermostat,Yes,4,51.34,Low,6.85
2936,Hydro,9.87,None,Yes,2,134.49,None,4.2
2937,Wind,13.07,Lighting,Yes,5,19.82,High,8.81
2938,Wind,13.65,None,No,3,110.25,None,2.17
2939,Nuclear,7.64,Lighting,No,4,85.86,Medium,3.24
2940,Hydro,19.09,Assistant,Yes,4,85.58,High,8.44
2941,Solar,15.06,Lighting,Yes,1,170.95,None,3.76
2942,Solar,8.66,Assistant,No,5,49.59,None,8.2
2943,Nuclear,11.55,Thermostat,Yes,3,76.66,None,5.05
2944,Solar,8.3,Lighting,Yes,4,84.6,None,1.08
2945,Wind,16.95,None,No,4,124.88,Low,4.91
2946,Fossil,9.44,Security,No,4,110.16,Medium,9.9
2947,Nuclear,9.44,Assistant,No,7,116.65,Low,2.47
2948,Nuclear,6.27,None,No,2,110.61,None,6.16
2949,Hydro,11.74,Assistant,Yes,1,125.06,None,3.43
2950,Hydro,10.65,None,Yes,2,65.19,High,4.91
2951,Wind,5.56,None,No,1,70.79,High,6.43
2952,Fossil,4.22,Security,Yes,6,144.01,None,7.24
2953,Wind,5.95,Assistant,No,2,148.41,High,4.23
2954,Wind,14.7,Security,Yes,6,96.65,High,2.16
2955,Solar,13.37,Assistant,No,2,90.61,Medium,7.6
2956,Fossil,12.78,Lighting,No,4,132.46,High,2.56
2957,Hydro,21.94,Assistant,Yes,7,76.81,Medium,5.34
2958,Fossil,10.32,Security,Yes,7,133.92,Low,4.86
2959,Solar,8.5,Security,No,1,79.64,Medium,1.38
2960,Nuclear,18.97,Security,No,3,106.35,Medium,4.63
2961,Solar,13.17,Assistant,No,4,97.79,High,1.48
2962,Wind,10.49,None,Yes,2,86.21,Medium,8.5
2963,Nuclear,19.9,None,No,1,64.22,Low,5.99
2964,Hydro,14.82,Security,No,2,58.03,High,5.29
2965,Fossil,16.03,Assistant,No,6,93.63,Medium,3.51
2966,Fossil,23.31,Thermostat,Yes,6,63.7,High,2.36
2967,Solar,-4.88,None,Yes,3,142.21,High,5.39
2968,Solar,8.93,Assistant,No,6,93.0,Medium,3.02
2969,Nuclear,14.45,Lighting,No,2,102.26,High,2.13
2970,Wind,-2.56,Security,No,2,143.07,None,7.08
2971,Wind,4.03,Thermostat,No,1,54.62,Low,9.73
2972,Fossil,13.06,Assistant,Yes,1,112.18,Medium,2.64
2973,Solar,12.72,Thermostat,No,1,78.81,None,8.37
2974,Nuclear,14.6,Lighting,No,5,108.13,High,8.53
2975,Hydro,9.93,Lighting,Yes,3,136.34,High,2.65
2976,Fossil,9.14,Thermostat,No,4,87.04,High,8.05
2977,Fossil,14.02,Assistant,No,1,90.22,Low,9.99
2978,Wind,9.38,Assistant,Yes,1,100.68,Medium,5.91
